产品开发新增类型必须在此文件注册占号，否则一旦重复概不负责,,
请保持阵型 一行一个 ,,
编号切勿重复 产品开发使用59999以下的数字 60000以上留给客开 建议留白 一次占用50-100个,,
编号,英文名称,备注 
509,Bulletin_AduitNotPass,公告_审核不通过 
510,Bulletin_AuditPublish,公告_审核直接发布 
511,Bulletin_Pigeonhole,公告_归档公告 
521,News_New,新闻_新建新闻 
522,News_Modify,新闻_修改新闻 
523,News_Publish,新闻_发布新闻 
524,News_CancelPublish,新闻_取消发布新闻 
525,News_Delete,新闻_删除新闻 
526,News_GrantAuth,新闻_新闻发布授权 
527,News_CancelAudit,新闻_取消审核 
528,News_AuditPass,新闻_审核通过 
529,News_AduitNotPass,新闻_审核不通过 
530,News_AuditPublish,新闻_审核直接发布 
531,News_Pigeonhole,新闻_归档新闻 
541,Inquiry_New,调查_新建调查 
542,Inquiry_Modify,调查_修改调查 
543,Inquiry_Publish,调查_发布调查 
544,Inquiry_CancelPublish,调查_取消发布调查 
545,Inquiry_Delete,调查_删除调查 
546,Inquiry_GrantAuth,调查_调查发布授权 
547,Inquiry_CancelAudit,调查_取消审核 
548,Inquiry_AuditPass,调查_审核通过 
549,Inquiry_AduitNotPass,调查_审核不通过 
550,Inquiry_AuditPublish,调查_审核直接发布 
551,Inquiry_Pigeonhole,调查_归档调查 
561,Bbs_Publish,发布讨论文章 
562,Bbs_Modify,修改讨论文章 
563,Bbs_Delete,删除讨论文章 
564,Bbs_GrantAuth,讨论发布授权 
565,Bbs_ModifyReply,修改讨论回复 
571,Bulletin_PostAuth_Update,前端用户：公告发布授权与变更 
572,News_PostAuth_Update,前端用户：新闻发布授权与变更 
573,Inquiry_PostAuth_Update,前端用户：调查发布权授权与变更 
574,Bbs_PostAuth_Update,前端用户：讨论发布权授权与变更 
581,Account_BulManagers_Update,单位公告版块管理员和审核员设置与变更 
582,Account_NewsManagers_Update,单位新闻版块管理员和审核员设置与变更 
583,Account_InqManagers_Update,单位调查版块管理员和审核员设置与变更 
584,Account_BbsManagers_Update,单位讨论版块管理员和审核员设置与变更 
591,Group_BulManagers_Update,集团公告版块管理员和审核员设置与变更 
592,Group_NewsManagers_Update,集团新闻版块管理员和审核员设置与变更 
593,Group_InquManagers_Update,集团调查版块管理员和审核员设置与变更 
594,Group_BbsManagers_Update,集团讨论版块管理员和审核员设置与变更 
601,Plan_New,计划 新建
602,Plan_Update,计划 修改
603,Plan_Delete,计划 删除
611,Meeting_New,会议 新建
612,Meeting_Update,会议 修改
613,Meeting_Delete,会议 删除
614,Meeting_Document,会议 归档
616,Meeting_summary_modify, 修改会议纪要
621,Calendar_New,日程 新建
622,Calendar_Update,日程 修改
623,Calendar_Delete,日程 删除
624,Calendar_Commission,日程 委托
631,Task_Create,工作任务  
701,Hr_NewStaffInfo,HR管理_新建人员档案
702,Hr_UpdateStaffInfo,HR管理_修改人员档案
703,Hr_DeleteStaffInfo,HR管理_删除人员档案
704,Hr_TransferSalary,HR管理_工资移交
706,Hr_import,HR管理_批量导入人员档案
707,Hr_export,HR管理_批量导出人员档案
801,Organization_NewAccount,组织信息管理_新建单位
802,Organization_UpdateAccount,组织信息管理_修改单位信息
803,Organization_DeleteAccount,组织信息管理_删除单位
811,Organization_NewDept,组织信息管理_新建部门
812,Organization_UpdateDept,组织信息管理_修改部门信息
813,Organization_DeleteDept,组织信息管理_删除部门
815,Organization_NewPost,组织信息管理_新建岗位
816,Organization_UpdatePost,组织信息管理_修改岗位
817,Organization_DeletePost,组织信息管理_删除岗位
818,Organization_BatchAddPost,组织信息管理_批量导入岗位
820,Organization_DeleteDutyLevel,政务版--组织信息管理_删除职级
821,Organization_NewLevel,组织信息管理_新建职务级别
822,Organization_UpdateLevel,组织信息管理_修改职务级别
823,Organization_DeleteLevel,组织信息管理_删除职务级别
824,Organization_NewDutyLevel,政务版--组织信息管理_新建职级
825,Organization_UpdateDutyLevel,政务版--组织信息管理_修改职级
826,Organization_NewMember,组织信息管理_新建人员
827,Organization_UpdateMember,组织信息管理_修改人员
828,Organization_DeleteMember,组织信息管理_删除人员
829,Organization_BatchAddMember,组织信息管理_批量导入人员
831,Organization_NewTeam,组织信息管理_新建系统组
832,Organization_UpdateTeam,组织信息管理_修改系统组
833,Organization_DeleteTeam,组织信息管理_删除系统组
841,Organization_UpdateRole,组织信息管理_修改单位角色
842,Organization_UpdateWorkScope,组织信息管理_修改工作范围控制
843,Organization_UpdateMemberConDept,组织信息管理_修改兼職人员部門
844,Organization_UpdateMemberConPost,组织信息管理_修改兼職人员崗位
845,Organization_UpdateMemberConLevel,组织信息管理_修改兼職人员職務
846,Organization_UpdateMemberConRole,组织信息管理_修改兼職人员角色
847,Organization_UpdateMemberConAccount,组织信息管理_修改兼職人员單位
851,Organization_MoveDept,组织信息管理_部门调整
852,Organization_MoveMember,组织信息管理_人员调出
853,Organization_NewExternalDept,组织信息管理_新建外单位
854,Organization_UpdateExternalDept,组织信息管理_修改外单位
855,Organization_DeleteExternalDept,组织信息管理_删除外单位
856,Organization_NewExternalMember,组织信息管理_新增外单位人员
857,Organization_UpdateExternalMember,组织信息管理_修改外单位人员
858,Organization_DeleteExternalMember,组织信息管理_删除外单位人员
859,Organization_ChangeDepRole,组织信息管理_部门角色设置与变更
860,Organization_ChangeOrgRole,组织信息管理_单位角色设置与变更
861,Organization_UpdateGroupAccount,组织信息管理_修改集团信息
862,Organization_UpdateGroupAdminPassword,组织信息管理_修改集团管理员密码
863,Organization_OrgMember,组织信息管理_人员重新分配
864,Organization_DeleteCancelMember,组织信息管理_删除未分配人员
865,Organization_BanchEditMember,组织信息管理_批量修改人员
866,Organization_MemberLeave,离职办理 
871,Organization_GroupAdminAddCntPost,组织信息管理_集团管理员新建兼职
872,Organization_GroupAdminUpdateCntPost,组织信息管理_集团管理员修改兼职
873,Organization_GroupAdminDeleteCntPost,组织信息管理_集团管理员删除兼职
874,Organization_AccountAdminUpdateCntPost,组织信息管理_单位管理员修改兼职
875,Organization_AccountAdminDeleteCntPost,组织信息管理_单位管理员删除兼职
881,Organization_NewRole,组织信息管理_新建角色 
883,Organization_DeleteRole,组织信息管理_删除角色 
884,Organization_EnableRole,组织信息管理_启用角色 
885,Organization_DisEnableRole,组织信息管理_停用角色 
886,Organization_CopyRoles,组织信息管理_复制角色 
887,Organization_RoleToResource,组织信息管理_分配资源 
888,Organization_RoleToMember,组织信息管理_分配人员 
891,Organization_ChangePermission,组织信息管理_分配许可数 
892,Organization_ChangeServerPermission,组织信息管理_Server许可数设置 
893,Organization_ChangeM1Permission,组织信息管理_M1许可数设置 
894,Organization_UpdateMemberDept,组织信息管理_修改人员部門
895,Organization_UpdateMemberPost,组织信息管理_修改人员崗位
896,Organization_UpdateMemberLevel,组织信息管理_修改人员職務
897,Organization_UpdateMemberSecP,组织信息管理_修改人员副崗
898,Organization_UpdateMemberRole,组织信息管理_修改人员角色
901,MenuSec_New,菜单权限_新建
902,MenuSec_Update,菜单权限_修改
903,MenuSec_Delete,菜单权限_删除
904,MenuSec_Enable,菜单权限_启用
905,MenuSec_Disable,菜单权限_停用
911,Signet_New,电子印章_新建
912,Signet_Update,电子印章_修改
913,Signet_Delete,电子印章_删除
1002,Systemmanager_UpdateUserPassWord,系统管理维护_修改人员密码
1003,Systemmanager_UpdateSignetPassWord,系统管理维护_修改印章密码
1004,Departmentmanager_UpdatePorjectResponsible,系统管理维护_修改项目负责人
1005,Systemmanager_RemoveLockUser,系统管理维护_删除锁定用户
1011,ProjectManagerModifyed,项目负责人修改 
1012,SMSAuthorityModify_Set,移动短信设置 集团
1013,SMSAuthorityModify_ReSet,移动短信重新授权 集团
1014,SignetAuth_New,电子印章授权-新建 
1015,SignetAuthModify,电子印章授权-修改 
1016,BlogStateModify_Stop,博客启停变更 
1018,WorkManageAuth_New,工作管理设置增删改 
1021,SMSAuthAccount_Set,移动短信权限设置变更-单位管理员 
1022,GroupSpaceManager_Set,集团空间管理员设置
1023,SystemOpenModify,系统开关变更 
1024,SystemOpenToDefault,系统开关恢复默认 
1025,DirectoryConfig,目录服务配置变更 
1026,InterSystem_Create,关联系统增删改 
1029,ExtenColumnChange_Create,扩展栏目增删改 
1032,RssChanelChange_Create,RSS频道增删改 
1035,WorkTimeSet_Update_Group_WorkTime,修改集团工作时间 
1036,WorkTimeSet_Update_Unit_WorkTime,修改单位工作时间 
1037,WorkTimeSet_Inherit_Group_WorkDay,继承集团工作日 
1038,WorkTimeSet_Inherit_Group_WorkTime,继承集团工作时间 
1039,WorkTimeSet_Update_WorkDay,修改工作日 
1040,Ipcontrol_Create,访问控制增删改 
1051,Clear_Log_Logon,删除登录日志   
1052,Clear_Log_App,删除应用日志
1080,Systemmanager_UpdateAdminPassWord,系统管理维护_修改管理员密码
1101,Project_New,关联项目_新建 
1102,Project_Update,关联项目_修改
1103,Project_Delete,关联项目_删除
654,Project_Import,关联项目_导入
655,Project_Export,关联项目_导出
1111,Agent_New,代理人_新建
1112,Agent_Update,代理人_修改
1113,Agent_Delete,代理人_取消
1114,Agent_New_LeaveMember,代理人_离职办理 
1120,Update_Personal_Password,修改密码
1121,Update_Signet_Password,修改印章密码
1131,SmsLogin_Enable,动态口令_启用 
1132,SmsLogin_Disable,动态口令_停用 
1140,ViewSalary,查看薪资 
1141,Export_AddressBook,通讯录_导出
2210,Meeting_app_new,新建会议申请
2211,Meeting_app_update,修改会议申请
2212,Meeting_app_repeal,撤消会议申请
2213,Meeting_app_delete,删除会议申请
2214,Meeting_app_audit,审核会议申请
2220,Meeting_notice_new,新建会议通知
2221,Meeting_notice_update,修改会议通知
2222,Meeting_notice_repeal,撤消会议通知
2223,Meeting_notice_delete,删除会议通知
2230,Meeting_summary_new,新建会议纪要
2231,Meeting_summary_repeal,撤消会议纪要
2232,Meeting_summary_delete,删除会议纪要
2233,Meeting_summary_audit,审核会议纪要
2240,MeetingRoom_app_new,会议室申请
2241,MeetingRoom_app_repeal,撤消会议室申请
2242,MeetingRoom_app_delete,删除会议室申请
2243,MeetingRoom_app_audit,审核会议室申请
2244,MeetingRoom_admin_new,新增会议室管理员
2245,MeetingRoom_admin_delete,删除会议室管理员
2246,MeetingRoom_admin_update,修改会议室管理员
2247,MeetingRoom_audit_update,修改会议审核权
2248,MeetingLeader_lookup_update,修改领导查阅权
2249,MeetingRoom_create,新建会议室
2250,MeetingRoom_delete,删除会议室
2251,MeetingRoom_update,修改会议室
2410,Information_Up_New,(信息上报)新建信息
2411,Information_Up_Modify,(信息上报)信息修改
2412,Information_Up_Delete,(信息上报)信息删除
2413,Information_Up_Cancel,(信息上报)信息撤销
2414,Information_Up_Send,(信息上报)发送信息
2420,Information_Audit_Receive,(信息审核)接收
2421,Information_Audit_Audit,(信息审核)审核
2422,Information_Audit_Edit,(信息审核)采编
2423,Information_Audit_Sign,(信息审核)签发
2424,Information_Audit_Category,(信息审核)分类
2425,Information_Audit_Label,(信息审核)进行加签、减签、修改附件操作
2426,Information_Audit_Content,(信息审核)审核信息时修改正文
2427,Information_Audit_File,(信息审核)审核信息时归档正文
2428,Information_Audit_Add,(信息审核)审核信息时加签
